amount,category,date
250.0,Food,2026-01-03
120.0,Transport,2026-01-05
850.0,Shopping,2026-01-08
300.0,Entertainment,2026-01-12
180.0,Food,2026-01-15
1200.0,Bills,2026-01-18
450.0,Health,2026-01-22
200.0,Education,2026-01-25
150.0,Transport,2026-01-28
500.0,Food,2026-02-02
300.0,Transport,2026-02-05
1500.0,Shopping,2026-02-08
250.0,Entertainment,2026-02-11
700.0,Bills,2026-02-14
400.0,Food,2026-02-17
600.0,Health,2026-02-20
350.0,Education,2026-02-24
180.0,Transport,2026-02-27
320.0,Food,2026-03-03
150.0,Transport,2026-03-05
950.0,Shopping,2026-03-08
400.0,Entertainment,2026-03-11
900.0,Bills,2026-03-14
250.0,Food,2026-03-17
750.0,Health,2026-03-20
500.0,Education,2026-03-23
200.0,Transport,2026-03-26
450.0,Food,2026-04-02
220.0,Transport,2026-04-05
1800.0,Shopping,2026-04-08
350.0,Entertainment,2026-04-11
1100.0,Bills,2026-04-14
300.0,Food,2026-04-17
500.0,Health,2026-04-20
650.0,Education,2026-04-23
170.0,Transport,2026-04-26
600.0,Food,2026-05-03
250.0,Transport,2026-05-06
2500.0,Shopping,2026-05-10
1500.0,Bills,2026-05-15
500.0,Food,2026-01-25
